Title,Year,Category,Session,Author,Keyword,Theoretical Analysis,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,,
ASK-GraphView : A Large Scale Graph Visualization System,2006,InfoVis,Graph Exploration,"James Abello, Frank van Ham, Neeraj Krishnan","Information Visualization, Graph Visualization, Graph Clustering.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MatrixExplorer: a Dual-Representation System to Explore Social Networks,2006,InfoVis,Graph Exploration,"Nathalie Henry, Jean-Daniel Fekete","social networks visualization, node-link diagrams, matrix-based representations, exploratory process, matrix ordering, interactive clustering, consensus.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Visual Analysis of Multivariate State Transition Graphs,2006,InfoVis,Graph Exploration,"A. Johannes Pretorius, Jarke J. van Wijk","Graph visualization, multivariate visualization, interactive clustering, state spaces, transition systems, finite state machines.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balancing Systematic and Flexible Exploration of Networks,2006,InfoVis,Graph Exploration,"Adam Perer, Ben Shneiderman","Social networks, interactive graph visualization, attribute ranking, coordinated views, exploratory data analysis.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Multi-Scale Banking to 45º,2006,InfoVis,Data Perception,"Jeffrey Heer, Maneesh Agrawala","Information visualization, banking to 45 degrees, line charts, time-series, sparklines, graphical perception",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Measuring Data Abstraction Quality in Multiresolution Visualizations,2006,InfoVis,Data Perception,"Qingguang Cui, Matthew Ward, Elke Rundensteiner, Jing Yang","Metrics, Clustering, Sampling, Multiresolution Visualization.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Enabling Automatic Clutter Reduction in Parallel Coordinate Plots,2006,InfoVis,Data Perception,"Geoffrey Ellis, Alan Dix","Sampling, random sampling, lens, clutter, occlusion, density reduction, overplotting, information visualisation, parallel coordinates.",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visualization of Geo-spatial Point Sets via Global Shape Transformation and Local Pixel Placement,2006,InfoVis,Geographic Visualization,"Mike Sips, Christian Panse, Daniel A. Keim, Stephen C. North","Geo-spatial Data, Shape Transformation, Cartogram, Pixel Visualization",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Worldmapper: The World as You've Never Seen It Before,2006,InfoVis,Geographic Visualization,"Daniel Dorling, Anna Barford, Mark Newman","Geographic Visualization, Computer Graphics, Worldmapper, Data Visualization, Social Visualization, Cartogram.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Spatial Analysis of News Sources,2006,InfoVis,Geographic Visualization,"Andrew Mehler, Yunfan Bao, Xin Li, Yue Wang, Steven Skiena","GIS, Geographic Visualization, Text and Document Visualization, Information analytics, WWW data visualization, Spidering, Newspapers",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
