Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis,,
TimeTree: Exploring Time Changing Hierarchies ,2006,VAST,Spatial and Temporal Data,"Stuart Card, Bongwon Suh, Bryan Pendleton, Jeffrey Heer, John Bodnar",,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visual Exploration of Spatio-temporal Relationships for Scientific Data,2006,VAST,Spatial and Temporal Data,"Sameep Mehta, Srinivasan Parthasarathy, Raghu Machiraju","Knowledge Discovery, Scientific Analytics, Trajectory Analysis, Feature Extraction, Spatio-temporal Predicates, Visual Analytics",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Visual Analytics of Paleoceanographic Conditions,2006,VAST,Spatial and Temporal Data,Roberto Theron,"Infovis, parallel coordinates, multiple linked views, exploratory analysis.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Avian Flu Case Study with nSpace and GeoTime,2006,VAST,Spatial and Temporal Data,"Pascale Proulx, Sumeet Tandon, Adam Bodnar, David Schroh, Robert Harper, William Wright","visual analytics, information visualization, human information interaction, sense making, geo-spatial information systems, temporal analysis, user centered design",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Visual Analysis of Historic Hotel Visitation Patterns,2006,VAST,Spatial and Temporal Data,"Chris Weaver, David Fyfe, Anthony Robinson, Deryck Holdsworth, Donna Peuquet, Alan MacEachren","Geovisualization, exploratory visualization, historical geography, coordinated multiple views, travel pattern analysis.",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D-Dupe: An Interactive Tool for Entity Resolution in Social Networks,2006,VAST,Complex Information Spaces,"Mustafa Bilgic, Louis Licamele, Lise Getoor, Ben Shneiderman",,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Interactive Visual Synthesis of Analytic Knowledge,2006,VAST,Complex Information Spaces,"David Gotz, Michelle X. Zhou, Vikram Aggarwal","Visual Analytics, Intelligence analysis, Problemsolving environments, Visual Knowledge Discovery",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Visual Analysis of Conflicting Opinions,2006,VAST,Complex Information Spaces,"Chaomei Chen, Fidelia Ibekwe-SanJuan, Eric SanJuan, Chris Weaver","Visual analytics, conflicting opinions, terminology variation, decision tree, predictive text analysis, sense making.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Have Green – A Visual Analytics Framework for Large Semantic Graphs,2006,VAST,Complex Information Spaces,"Pak Chung Wong, George Chin, Harlan Foote, Patrick Mackey, Jim Thomas","Visual Analytics, Graph and Network Visualization, Information Analytics, Information Visualization",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exploring Large-Scale Video News via Interactive Visualization,2006,VAST,Complex Information Spaces,"Hangzai Luo, Jianping Fan, Jing Yang, William Ribarsky, Shin'ichi Satoh","News Visualization, Semantic Video Classification",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
