Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis,
An Effective Illustrative Visualization Framework Based on Photic Extremum Lines (PELs),2007,SciVis,,"Xuexiang Xie, Ying He, Feng Tian, Hock-Soon Seah, Xianfeng Gu, and Hong Qin","Surface and volume illustration, illumination, photic extremum lines (PELs), silhouettes, suggestive contours, ridges
and valleys, digital geometry processing",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Enhancing Depth-Perception with Flexible Volumetric Halos,2007,SciVis,,Stefan Bruckner and M. Eduard Groller,"Volume rendering, illustrative visualization, halos",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Illustrative Deformation for Data Exploration,2007,SciVis,,"Carlos D. Correa, Deborah Silver, and Min Chen","Volume deformation, focus context visualization, interaction techniques",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Semantic Layers for Illustrative Volume Rendering,2007,SciVis,,"Peter Rautek, Stefan Bruckner, and M. Eduard Groller","Illustrative Visualization, Focus Context Techniques, Volume Visualization",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A Uniﬁed Paradigm for Scalable Multi-Projector Displays,2007,SciVis,,"Niranjan Damera-Venkata, Nelson L. Chang, and Jeffrey M. DiCarlo","Multi-projector displays, tiled displays, large format displays, blending, stitching, automatic geometric alignment, pho-
tometric correction, super-resolution, superimposed projection",0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Registration Techniques for Using Imperfect and Partially Calibrated Devices in Planar Multi-Projector Displays,2007,SciVis,,"Ezekiel Bhasker, Ray Juang, and Aditi Majumder","Geometric calibration, photometric calibration, tiled displays",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tile-based Level of Detail for the Parallel Age,2007,SciVis,,Krzysztof Niski and Jonathan D. Cohen,"Level of detail, out-of-core, distributed, parallel, geometry image",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Time Dependent Processing in a Parallel Pipeline Architecture,2007,SciVis,,"John Biddiscombe, Berk Geveci, Ken Martin, Kenneth Moreland, and David Thompson","data-parallel visualization pipeline, time-varying data",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Interactive Visual Analysis of Perfusion Data,2007,SciVis,,"Steffen Oeltze, Helmut Doleisch, Helwig Hauser, Philipp Muigg, and Bernhard Preim","Multi-ﬁeld Visualization, Visual Data Mining, Time-varying Volume Data, Integrating InfoVis/SciVis",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Multiﬁeld Visualization Using Local Statistical Complexity,2007,SciVis,,"Heike Janicke, Alexander Wiebel, Gerik Scheuermann, and Wolfgang Kollmann","Local statistical complexity, multiﬁeld visualization, time-dependent, coherent structures, feature detection, information
theory, flow visualization",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Variable Interactions in Query-Driven Visualization,2007,SciVis,,"Luke J. Gosink, John C. Anderson, E. Wes Bethel, and Kenneth I. Joy","Multivariate Data, Query-Driven Visualization",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Visual Analysis of the Air Pollution Problem in Hong Kong,2007,SciVis,,"Huamin Qu, Wing-Yi Chan, Anbang Xu, Kai-Lun Chung, Kai-Hon Lau, and Ping Guo","Weather data visualization, polar system, parallel coordinates, air pollution, visual analytics",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
Efﬁcient Computation of Morse-Smale Complexes for Three-dimensional Scalar Functions,2007,SciVis,,"Attila Gyulassy, Vijay Natarajan, Valerio Pascucci and Bernd Hamann","Morse theory, Morse-Smale complexes, computational topology, multiresolution, simpliﬁcation, feature detection, 3D
scalar fields",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
IStar: A Raster Representation for Scalable Image and Volume Data,2007,SciVis,,"Joe Kniss, Warren Hunt, Kristin Potter, Pradeep Sen","Topology, Compression, Image Representation",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Topological Landscapes: A Terrain Metaphor for Scientific Data,2007,SciVis,,"Gunther H. Weber, Peer-Timo Bremer and Valerio Pascucci","Feature Detection (primary keyword), User Interfaces, Visual Analytics, Contour Tree, Terrain, Topology, SOAR",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Topologically Clean Distance Fields,2007,SciVis,,"Attila G. Gyulassy, Mark A. Duchaineau, Vijay Natarajan, Valerio Pascucci, Eduardo M. Bringa, Andrew Higginbotham, and Bernd Hamann","Morse theory, Morse-Smale complex, distance ﬁeld, topological simpliﬁcation, wavefront, critical point, porous solid,
material science",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Efﬁcient Computation and Visualization of Coherent Structures in Fluid Flow Applications,2007,SciVis,,"Christoph Garth, Florian Gerhardt, Xavier Tricoche and Hans Hagen","flow visualization, feature detection, 3D vector ﬁeld visualization",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Efﬁcient Visualization of Lagrangian Coherent Structures by Filtered AMR Ridge Extraction,2007,SciVis,,"Filip Sadlo, Ronald Peikert","Ridge extraction, flow visualization, coherent structures, vector field topology, unsteady vector fields",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Similarity-Guided Streamline Placement with Error Evaluation,2007,SciVis,,"Yuan Chen, Jonathan D. Cohen, and Julian H. Krolik","Adaptive streamlines, vector ﬁeld reconstruction, shape matching",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
