Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
Activity Analysis Using Spatio-Temporal Trajectory Volumes in Surveillance Applications,2007,VAST,Geotemporal Analysis,Firdaus Janoos Shantanu Singh Okan Irfanoglu Raghu Machiraju,,,1,,,1,,,,1,,,1,,1,,,
FemaRepViz: Automatic Extraction and Geo-Temporal Visualization of FEMA National Situation Updates,2007,VAST,Geotemporal Analysis,Chi-Chun Pan,,,,,,,,,,1,,,,,,1,,
LAHVA: Linked Animal-Human Health Visual Analytics,2007,VAST,Geotemporal Analysis,Ross Maciejewski,,,,1,,1,,,,,1,,,1,,,,
Stories in GeoTime,2007,VAST,Geotemporal Analysis,Ryan Eccles,,,,,,1,,,,,,,1,,,,1,
IMAS: The Interactive Multigenomic Analysis System,2007,VAST,Emergency & Surveillance Analytics & Systems,Christopher D. Shaw,,,1,,,1,,,,,1,,1,,,,,
Thin Client Visualization,2007,VAST,Emergency & Surveillance Analytics & Systems,Stephen G. Eick,,,,,,,,,,,1,,,1,,,,
Visual Analytics Approach to User-Controlled Evacuation Scheduling,2007,VAST,Emergency & Surveillance Analytics & Systems,Gennady Andrienko,,,,1,,1,,,,,,,,1,,1,,
Visual Analytics on Mobile Devices for Emergency Response,2007,VAST,Emergency & Surveillance Analytics & Systems,SungYe Kim,,,,,,1,,,,,,,,1,,,,
Analysis Guided Visual Exploration of Multivariate Data,2007,VAST,Multivariate Analytics,Di Yang,,,,,,1,,,,,,,,1,,,1,
Balancing Interactive Data Management of Massive Data with Situational Awareness through Smart Aggregation,2007,VAST,Multivariate Analytics,Daniel R. Tesone,,,,,,1,,,,,,,,1,,,,
ClusterSculptor: A Visual Analytics Tool for High-Dimensional Data,2007,VAST,Multivariate Analytics,Eun Ju Nam,,,,,,1,,,,,,,,1,,,,
Intelligent Visual Analytics Queries,2007,VAST,Multivariate Analytics,Ming C. Hao and Umeshwar Daya,,,,,,1,,1,1,,,,1,1,1,,1,
Analyzing Large-Scale News Video Databases to Support Knowledge Visualization and Intuitive Retrieval,2007,VAST,Text & Media Exploration,Hangzai Luo,,1,,,,,,,,,,1,,1,,,,
Literature Fingerprinting: A New Method for Visual Literary Analysis,2007,VAST,Text & Media Exploration,Daniel A. Keim,,,,,,1,,,,,,,,1,,,,
NewsLab: Exploratory Broadcast News Video Analysis,2007,VAST,Text & Media Exploration,Mohammad Ghoniem,,,,,,1,,,,,,,1,,1,,,
Point Placement by Phylogenetic Trees and its Application to Visual Analysis of Document Collections,2007,VAST,Text & Media Exploration,Ana M. Cuadros,,,,,,1,,,,,,,1,,,,1,
Jigsaw: Supporting Investigative Analysis through Interactive Visualization,2007,VAST,Security & Investigative Analysis,John Stasko,,,,,,1,,,,,,,,1,,,,
Session Viewer: Visual Exploratory Analysis of Web Session Logs,2007,VAST,Security & Investigative Analysis,Heidi Lam,,,,,,1,,,,,,,,1,,,,
SpiralView: Towards Security Policies Assessment through Visual Correlation of Network Resources with Evolution of Alarms,2007,VAST,Security & Investigative Analysis,Enrico Bertini,,,,,,1,,,,,,,,1,,,,
"WireVis: Visualization of Categorical, Time-Varying Data From Financial Transactions",2007,VAST,Security & Investigative Analysis,Remco Chang,,,,,,,,,,1,,,,,,1,,
DataMeadow: A Visual Canvas for Analysis of Large-Scale Multivariate Data,2007,VAST,Social Analysis & Interaction,Niklas Elmqvist,,,1,,,1,,,,,,,,1,,,,
Design Considerations for Collaborative Visual Analytics,2007,VAST,Social Analysis & Interaction,Jeffrey Heer,,,,,,1,,,,,,,,1,,,,
Us vs. Them: Understanding Social Dynamics in Wikipedia with Revert Graph Visualizations,2007,VAST,Social Analysis & Interaction,Bongwon Suh,,,1,,,1,,,,,,,1,,,,1,
Visual Analysis of Controversy in User-generated Encyclopedias,2007,VAST,Social Analysis & Interaction,Ulrik Brandes,,,1,,,1,,1,1,,,,,1,1,,,
