Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
ABySS-Explorer: Visualizing Genome Sequence Assemblies ,2009,InfoVis,Bioinformatics Visualization,"Cydney B. Nielsen, Shaun D. Jackman, Inanç Birol, Steven J.M. Jones","Bioinformatics visualization, design study, DNA sequence, genome assembly.",,,,,1,,,,,1,,,1,,,,
Constructing Overview + Detail Dendrogram-Matrix Views,2009,InfoVis,Bioinformatics Visualization,"Jin Chen, Alan M. MacEachren, Donna J. Peuquet","Dendrogram, reorderable matrix, compound graphs, data abstraction quality metrics, hierarchical clusters.",,,1,1,1,,,,,,1,,1,1,,,
MizBee: A Multiscale Synteny Browser,2009,InfoVis,Bioinformatics Visualization,"Miriah Meyer, Tamara Munzner, Hanspeter Pfister","Information visualization, design study, bioinformatics, synteny.",,,,,1,,1,,,,,,1,,,1,
GeneShelf: A Web-based Visual Interface for Large Gene Expression Time-Series Data Repositories,2009,InfoVis,Bioinformatics Visualization,"Bohyoung Kim, Bongshin Lee, Susan Knoblach, Eric Hoffman, Jinwook Seo","bioinformatics visualization, augmented timeline, animation, zoomable grid, gene expression profiling.",,,,,1,,1,,,,,1,1,,,1,
Spatiotemporal Analysis of Sensor Logs using Growth Ring Maps,2009,InfoVis,Bioinformatics Visualization,"Peter Bak, Florian Mansmann, Halldor Janetzko, Daniel A. Keim","spatiotemporal visualization, visual analytics, animal behavior, dense pixel displays.",,,,,1,,,,,,,,1,,,,
A Nested Model for Visualization Design and Validation,2009,InfoVis,Models and Theories,Tamara Munzner,"Models, frameworks, design, evaluation.",,,,,,,,,1,,,,1,1,,,
Conjunctive Visual Forms,2009,InfoVis,Models and Theories,Chris Weaver,"Boolean query, brushing, conjunctive normal form, exploratory visualization, multiple views, visual abstraction.",,,,,1,,,,,,,,1,,1,,
Interaction Techniques for Selecting and Manipulating Subgraphs in Network Visualizations,2009,InfoVis,Graph Visualization,"Michael J. McGuffin, Igor Jurisica","Interactive graph drawing, network layout, radial menus, marking menus, hotbox, biological networks.",,,,,1,,1,,,1,,1,,,,1,
ActiviTree: Interactive Visual Exploration of Sequences in Event-Based Data Using Graph Similarity,2009,InfoVis,Graph Visualization,"Katerina Vrotsou, Jimmy Johansson, Matthew Cooper","Interactive visual exploration, event-based data, sequence identification, graph similarity, node similarity.",,,,,1,,,,,,,,1,,,,
"""Search, Show Context, Expand on Demand"": Supporting Large Graph Exploration with Degree-of-Interest",2009,InfoVis,Graph Visualization,"Frank van Ham, Adam Perer","Graph visualization, network visualization, degree of interest, legal citation networks, focus+context.",,,,,1,,,,,,,,1,,,,
A Comparison of User-Generated and Automatic Graph Layouts,2009,InfoVis,Graph Visualization,"Tim Dwyer, Bongshin Lee, Danyel Fisher, Kori Inkpen Quinn, Petra Isenberg, George Robertson, Chris North","Graph layout, network layout, automatic layout algorithms, user-generated layout, graph-drawing aesthetics.",,,,,,,,,1,,,1,,,,,
Smooth Graphs for Visual Exploration of Higher-Order State Transitions,2009,InfoVis,Graph Visualization,"Jorik Blaas, Charl P. Botha, Edward Grundy, Mark W. Jones, Robert S. Laramee, Frits H. Post","State transitions, Graph drawing, Time series, Biological data.",,,,1,1,,,,,,1,,1,,,,
Configuring Hierarchical Layouts to Address Research Questions,2009,InfoVis,Multidimensional Data Visualization,"Aidan Slingsby, Jason Dykes, Jo Wood","Geovisualization, hierarchical, layout, guidelines, exploratory, notation.",,,,,1,,,,,,,,1,,,,
