Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Efficiency,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
Decoupling Illumination from Isosurface Generation Using 4D Light Transport,2009,SciVis,,David C. Banks and Kevin M. Beason,"physically-based illumination, isosurface, level set, light transport.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Parameter Sensitivity Visualization in DTI Fiber Tracking,2009,SciVis,,"Ralph Brecheisen, Bram Platel, Anna Vilanova, and Bart ter Haar Romeny","Fiber Tracking, Parameter Sensitivity, Stopping Criteria, Diffusion Tensor Imaging, Uncertainty Visualization.",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
BrainGazer – Visual Queries for Neurobiology Research,2009,SciVis,,"Stefan Bruckner, Veronika Solteszova, M. Eduard Groller, Member, IEEE,Jiˇ ́ Hladuvka, Katja Buhler, Jai Y. Yu, and Barry J. Dickson","Biomedical visualization, neurobiology, visual queries, volume visualization.",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Interactive Streak Surface Visualization on the GPU,2009,SciVis,,"Kai Burger, Florian Ferstl, Holger Theisel, and Rudiger Westermann","Unsteady flow visualization, streak surface generation, GPUs.",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Perception-Based Transparency Optimization for Direct Volume Rendering,2009,SciVis,,"Ming-Yuen Chan, Yingcai Wu,Wai-Ho Mak, Wei Chen,Huamin Qu","Direct volume rendering, image enhancement, layer perception.",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Volume Illustration of Muscle from Diffusion Tensor Images,2009,SciVis,,"Wei Chen, Zhicheng Yan, Song Zhang, Member, IEEE,John Allen Crow, David S. Ebert, Fellow, IEEE, Ronald M. McLaughlin,Katie B. Mullins, Robert Cooper, Zi’ang Ding, Jun Liao","Illustrative Visualization, Diffusion Tensor Image, Muscle, Solid Texture Synthesis.",1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
A Novel Interface for Interactive Exploration of DTI Fibers,2009,SciVis,,"Wei Chen, Zi’ang Ding, Song Zhang, Anna MacKay-Brandt,Stephen Correia, Huamin Qu, John Allen Crow, David F. Tate,Zhicheng Yan ,Qunsheng Peng","Diffusion Tensor Imaging, Fibers, Fiber Clustering, Visualization Interface.",1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
GL4D: A GPU-based Architecture for Interactive 4D Visualization,2009,SciVis,,"Alan Chu, Chi-Wing Fu, IEEE, Andrew J. Hanson, Pheng-Ann Heng","Mathematical visualization, four-dimensional visualization, graphics hardware, interactive illumination.",1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Hue-Preserving Color Blending,2009,SciVis,,"Johnson Chuang, Daniel Weiskopf, Computer Society, Torsten Moller","Image compositing, perceptual transparency, color blending, volume rendering, illustrative visualization.",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Multi-Scale Surface Descriptors,2009,SciVis,,"Gregory Cipriano, George N. Phillips Jr.,Michael Gleicher","Curvature, descriptors, npr, stylized rendering, shape matching.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
