Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Efficiency,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
On the Fractal Dimension of Isosurfaces ,2010,SciVis,,"Marc Khoury, Rephael Wenger","Isosurfaces, scalar data, fractal dimension.",1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An Information-theoretic Framework for Visualization,2010,SciVis,,"Min Chen, Heike Jänicke","Information theory, theory of visualization, quantitative evaluation",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An Information-Theoretic Framework for Flow Visualization,2010,SciVis,,"Lijie Xu, Teng-Yok Lee, Han-Wei Shen","Flow ﬁeld visualization, information theory, streamline generation",1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[Best Paper] Streak Lines as Tangent Curves of a Derived Vector Field,2010,SciVis,,"Tino Weinkauf, Holger Theisel","Unsteady ﬂow visualization, streak lines, streak surfaces, feature extraction",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Curved Ray Camera for Handling Occlusions through Continuous Multiperspective Visualization,2010,SciVis,,"Jian Cui, Paul Rosen, Voicu Popescu, Christoph Hoffmann","Alleviating occlusions, camera model, curved rays, multiperspective visualization, interactive visualization",2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Special Relativistic Visualization by Local Ray Tracing,2010,SciVis,,"Thomas Müller, Sebastian Grottel, Daniel Weiskopf","Poincare transformation, aberration of light, Doppler effect, illumination, searchlight effect, special relativity, GPU ray tracing",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Computing Robustness and Persistence for Images,2010,SciVis,,"Paul Bendich, Herbert Edelsbrunner, Michael Kerber","Voxel arrays, oct-trees, persistent homology, persistence diagrams, level sets, robustness, approximations, plant roots",1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Browsing Large Image Datasets through Voronoi Diagrams,2010,SciVis,,"Paolo Brivio, Marco Tarini, Paolo Cignoni","Visualization System and Toolkit Design, Scalability Issues, User Interfaces, Zooming and Navigation Techniques",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Visual Exploration of High Dimensional Scalar Functions,2010,SciVis,,"Samuel Gerber, Peer-Timo Bremer, Valerio Pascucci, Ross Whitaker","Morse theory, High-dimensional visualization, Morse-Smale complex",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two-Phase Mapping for Projecting Massive Data Sets ,2010,SciVis,,"Fernando V. Paulovich, Cláudio T. Silva, L. Gustavo Nonato",Dimensionality Reduction; Projection Methods; Visual Data Mining; Streaming Technique,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Discontinuities in Continuous Scatterplots,2010,SciVis,,"Dirk J. Lehmann, Holger Theisel","Discontinuity, Scatterplot, Topology, Data Visualization",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spatial Conditioning of Transfer Functions Using Local Material Distributions,2010,SciVis,,"Stefan Lindholm, Patric Ljung, Claes Lundström, Anders Persson, Anders Ynnerman","Direct Volume Rendering, Transfer Function, Spatial Conditioning, Neighborhood Meta-Data",1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exploded View Diagrams of Mathematical Surfaces,2010,SciVis,,"Olga Karpenko, Wilmot Li, Niloy J. Mitra, Maneesh Agrawala","Exploded view diagrams, mathematical visualization, symmetry",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IRIS: Illustrative Rendering of Integral Surfaces,2010,SciVis,,"Mathias Hummel, Christoph Garth, Bernd Hamann, Hans Hagen, Kenneth I. Joy","Flow visualization, integral surfaces, illustrative rendering",1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
