Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Efficiency,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
Improving the Visual Analysis of High-dimensional Datasets Using Quality Measures,2010,VAST,,Georgia Albuquerque,,1,,,,1,,,,,,1,,,1,,,
Discovering Bits of Place Histories from People's Activity Traces,2010,VAST,,Gennady Andrienko,,,,,,1,,1,1,,,,,1,,,,
Real-time Aggregation of Wikipedia Data for Visual Analytics,2010,VAST,,Nadia Boukhelifa,,,,,,1,,,,,,,,1,,,,
Flow-based Scatterplots for Sensitivity Analysis,2010,VAST,,Yu-Hsuan Chan,,,,,,1,,,,,,,,1,,,,
Click2Annotate: Automated Insight Externalization with Rich Semantics,2010,VAST,,Yang Chen,,,,,,1,,1,1,,,,1,1,1,,1,
iVisClassifier: An Interactive Visual Analytics System for Classification Based on Supervised Dimension Reduction,2010,VAST,,Jaegul Choo,,,,,,1,,,,,,,,1,,,,
VizCept: Supporting Synchronous Collaboration for Constructing Visualizations in Intelligence Analysis,2010,VAST,,Haeyong Chung,,,,,,1,,1,1,,,,,1,,,,
Diamonds in the Rough: Social Media Visual Analytics for Journalistic Inquiry,2010,VAST,,Nicholas Diakopoulos,,,,,,1,,1,1,,,,1,,,,1,
Comparing Different Levels of Interaction Constraints for Deriving Visual Problem Isomorphs,2010,VAST,,Wenwen Dou,,,,,,1,,,,,,,1,,,,1,
Finding and Visualizing Relevant Subspaces for Clustering High-Dimensional Astronomical Data Using Connected Morphological Operators,2010,VAST,,Bilkis J. Ferdosi,,1,,,,,,,,,,1,,1,,,,
A Visual Analytics Approach to Model Learning,2010,VAST,,Supriya Garg,,,,,,1,,,,,,,,1,,,,
Towards the Personal Equation of Interaction: The Impact of Personality Factors on Visual Analytics Interface Interaction,2010,VAST,,Tera Marie Green,,,,,,1,,,,,,,1,,1,,,
DimStiller: Workflows for Dimensional Analysis and Reduction,2010,VAST,,"Stephen Ingram, Tamara Munzner",,,,,,1,,,,,,,,1,,,,
An Exploratory Study of Co-located Collaborative Visual Analytics Around a Tabletop Display,2010,VAST,,Petra Isenberg,,,,,,1,,,,,,,1,,,,1,
Interactive Querying of Temporal Data Using A Comic Strip Metaphor,2010,VAST,,Jing Jin,,,,,,1,,,,1,,,1,1,,,1,
Anomaly Detection in GPS Data Based on Visual Analytics,2010,VAST,,Zicheng Liao,,,1,,,1,,1,1,,,,,1,,,,
Helping Users Recall Their Reasoning Process,2010,VAST,,Heather Richter Lipford,,,,,,1,,,,,,,1,,,,1,
NetClinic: Interactive Visualization to Enhance Automated Fault Diagnosis in Enterprise Networks,2010,VAST,,Zhicheng Liu,,,,,,1,,1,1,1,,,1,,,,1,
Closer Look at Note Taking in the Co-located Collaborative Visual Analytics Process,2010,VAST,,Narges Mahyar,,,,,,1,,,,,,,1,,,,1,
Visual Exploration of Classification Models for Risk Assessment,2010,VAST,,Malgorzata Migut,,,,,,1,,,,,,,,1,,,,
Visual Readability Analysis: How to Make Your Writings Easier to Read,2010,VAST,,Daniela Oelke,,,,,,1,,,,,,,,1,,,,
Two-stage Framework for a Topology-Based Projection and Visualization of Classified Document Collections,2010,VAST,,Patrick Oesterling,,,1,,,,,1,1,,,1,,,1,,,
Understanding Text Corpora with Multiple Facets,2010,VAST,,Lei Shi,,,,,,1,,,,,,,,1,,,,
"Geo-Historical Context Support for Information Foraging and Sensemaking: Conceptual Model, Implementation, and Assessment",2010,VAST,,Brian Tomaszewski,,,,,,1,,,,,,,1,,,,1,
Multidimensional Data Dissection Using Attribute Relationship Graphs,2010,VAST,,Chris Weaver,,,,,,1,,,,,,,,1,,,,
Visual Market Sector Analysis for Financial Time Series Data,2010,VAST,,Hartmut Ziegler,,,,,,1,,,,,,,,1,,,,
