Title,Year,Category,Session,Author,Keyword,Speed,Accuracy,Scability,Efficiency,Efficiency,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
[Honorable Mention] Saliency-Assisted Navigation of Very Large Landscape Images,2011,SciVis,,"Cheuk Yiu Ip, Amitabh Varshney","Image Saliency, Very Large Scale Images, Scene Perception, Interactive Visualization, Anomaly Detection, Guided, Interaction",1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Hierarchical Event Selection for Video Storyboards with a Case Study on Snooker Video Visualization,2011,SciVis,,"Matthew L. Parry, Philip A. Legg, David H.S. Chung, Iwan W. Grifﬁths, Min Chen","Multimedia visualization, Time series data, Illustrative visualization",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
[Honorable Mention] Artificial Defocus for Displaying Markers in Microscopy Z-Stacks,2011,SciVis,,"Alessandro Giusti, Pierluigi Taddei, Cristina Magli, Giorgio Corani, Luca Gambardella, Luca Gianaroli","Depth of ﬁeld, Microscopy, Focus stacks",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Visualization of Topological Structures in Area-Preserving Maps,2011,SciVis,,"Xavier Tricoche, Christoph Garth, Allen Sanderson","Poincare map, dynamical systems, topology, chaos, area-preserving maps, invariant manifolds",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Multi-Touch Table System for Medical Visualization: Application to Orthopedic Surgery Planning,2011,SciVis,,"Claes Lundström, Thomas Rydell, Camilla Forsell, Anders Persson, Anders Ynnerman","Medical visualization, multi-touch, tabletop display, treatment planning",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Load-Balanced Parallel Streamline Generation on Large Scale Vector Fields,2011,SciVis,,"Boonthanome Nouanesengsy, Teng-Yok Lee, Han-Wei Shen","Flow visualization, Parallel processing, 3D vector ﬁeld visualization, Streamlines",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Extinction-Based Shading and Illumination in GPU Volume Ray-Casting,2011,SciVis,,"Philipp Schlegel, Maxim Makhinya, Renato Pajarola","Volume Rendering, Shadows, Ambient Occlusion, GPU Ray-Casting, Exponential Extinction",1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
GPU-Based Interactive Cut-Surface Extraction From High-Order Finite Element Fields,2011,SciVis,,"Blake Nelson, Robert Haimes, Robert M. Kirby","High-order ﬁnite elements, spectral/hp elements, cut-plane extraction, GPU-based root-ﬁnding, GPU ray-tracing, cut-surface extraction",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
GPU-Based Real-Time Approximation of the Ablation Zone for Radiofrequency Ablation,2011,SciVis,,"Christian Rieder, Tim Krüger, Christian Schumann, Horst K. Hahn","Radiofrequency ablation, ablation zone visualization, distance ﬁeld, volume rendering, GPU, interaction.",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
eature-Based Statistical Analysis of Combustion Simulation Data,2011,SciVis,,"Janine C. Bennett, Vaidyanathan Krishnamoorthy, Shusen Liu, Ray W. Grout, Evatt R. Hawkes, Jacqueline H. Chen, Jason Shepherd, Valerio Pascucci, Peer-Timo Bremer","Topology, Statistics, Data analysis, Data exploration, Visualization in Physical Sciences and Engineering, Multi-variate Data",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Quasi Interpolation With Voronoi Splines,2011,SciVis,,"Mahsa Mirzargar, Alireza Entezari","Voronoi Spline, Quasi Interpolation, Volume Visualization, Box spline",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Topological Spines: A Structure-Preserving Visual Representation of Scalar Fields,2011,SciVis,,"Carlos D. Correa, Peter Lindstrom, Peer-Timo Bremer","Scalar ﬁeld topology, topological spine, extremum graph, Morse-Smale complex",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
[Best Paper] Towards Robust Topology of Sparsely Sampled Data,2011,SciVis,,"Carlos D. Correa, Peter Lindstrom","Neighborhood graphs, topology, sparsely sampled data",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Visualization of AMR Data With Multi-Level Dual-Mesh Interpolation,2011,SciVis,,"Patrick J. Moran, David Ellsworth","Adaptive mesh refinement, AMR, Enzo, interpolation, ray casting, isosurfaces, dual meshes, stitching cells",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Nodes on Ropes: A Comprehensive Data and Control Flow for Steering Ensemble Simulations,2011,SciVis,,"Jürgen Waser, Hrvoje Ribičić, Raphael Fuchs, Christian Hirsch, Benjamin Schindler, Günther Blöschl, M. Eduard Gröller","Emergency/Disaster Management, Visual Knowledge Discovery, Visualization System and Toolkit Design, Data-Flow,
Meta-Flow, Parameter Study, Uncertainty, Visualization of Control",1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
"Interactive, Graph-Based Visual Analysis of High-Dimensional, Multi-Parameter Fluorescence Microscopy Data in Toponomics",2011,SciVis,,"Steffen Oeltze, Wolfgang Freiler, Reyk Hillert, Helmut Doleisch, Bernhard Preim, Walter Schubert","Visual Analytics, Fluorescence Microscopy, Toponomics, Protein Interaction, Graph Visualization",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Tuner: Principled Parameter Finding for Image Segmentation Algorithms Using Visual Response Surface Exploration,2011,SciVis,,"Thomas Torsney-Weir, Ahmed Saad, Torsten Möller, Britta Weber, Hans-Christian Hege, Jean-Marc Verbavatz, Steven Bergner","Parameter exploration, Image segmentation, Gaussian Process Model",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Branching and Circular Features in High Dimensional Data,2011,SciVis,,"Bei Wang, Brian Summa, Valerio Pascucci, Mikael Vejdemo-Johansson","Dimensionality reduction, circular coordinates, visualization, topological analysis",1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Features in Continuous Parallel Coordinates,2011,SciVis,,"Dirk J. Lehmann, Holger Theisel","Features, Parallel Coordinates, Topology, Visualization",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
About the Influence of Illumination Models on Image Comprehension in Direct Volume Rendering,2011,SciVis,,"Florian Lindemann, Timo Ropinski","Volumetric illumination, volume rendering, spatial comprehension",0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Automatic Transfer Functions Based on Informational Divergence,2011,SciVis,,"Marc Ruiz, Anton Bardera, Imma Boada, Ivan Viola, Miquel Feixas, Mateu Sbert","Transfer function, Information theory, Informational divergence, Kullback-Leibler distance.",1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
The Effect of Colour and Transparency on the Perception of Overlaid Grids,2011,SciVis,,"Lyn Bartram, Billy Cheung, Maureen C. Stone","Information visualization, automated presentation, applied perception, visual design, computational aesthetics",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Flow Radar Glyphs–Static Visualization of Unsteady Flow with Uncertainty,2011,SciVis,,"Marcel Hlawatsch, Philipp Leube, Wolfgang Nowak, Daniel Weiskopf","Visualization, glyph, uncertainty, unsteady flow",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
iView: A Feature Clustering Framework for Suggesting Informative Views in Volume Visualization,2011,SciVis,,"Ziyi Zheng, Nafees Ahmed, Klaus Mueller","Direct volume rendering, k-means, entropy, view suggestion, set-cover problem, ant colony optimization
",1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
Volume Analysis Using Multimodal Surface Similarity,2011,SciVis,,"Martin Haidacher, Stefan Bruckner, M. Eduard Gröller","Multimodal data, volume visualization, surface similarity",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Asymmetric Tensor Field Visualization for Surfaces,2011,SciVis,,"Guoning Chen, Darrel Palke, Zhongzang Lin, Harry Yeh, Paul Vincent, Robert S. Laramee, Eugene Zhang","Dichromacy, direct volume rendering, volume classification, image recoloring",1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
An Interactive Local Flattening Operator to Support Digital Investigations on Artwork Surfaces,2011,SciVis,,"Nico Pietroni, Massimiliano Corsini, Paolo Cignoni, Roberto Scopigno","Surface Characterization, Interactive Inspection, Cultural Heritage, Mesh Parameterization, Image Processing",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Context Preserving Maps of Tubular Structures,2011,SciVis,,"Joseph Marino, Wei Zeng, Xianfeng Gu, Arie Kaufman","Geometry-based technique, volume rendering, biomedical visualization, medical visualization, conformal mapping",1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
Authalic Parameterization of General Surfaces Using Lie Advection,2011,SciVis,,"Guangyu Zou, Jiaxi Hu, Xianfeng Gu, Jing Hua","Area-preserving surface parameterization, differential forms, Lie advection, surface visualization",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
TransGraph: Hierarchical Exploration of Transition Relationships in Time-Varying Volumetric Data,2011,SciVis,,"Yi Gu, Chaoli Wang","Time-varying data visualization, hierarchical representation, states, transition relationship, user interface",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
[Honorable Mention] Voronoi-Based Extraction and Visualization of Molecular Paths,2011,SciVis,,"Norbert Lindow, Daniel Baum, Hans-Christian Hege","Molecular visualization, data filtering, geometry-based techniques, view-dependent visualization",1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
Symmetry in Scalar Field Topology,2011,SciVis,,"Dilip Mathew Thomas, Vijay Natarajan","Scalar field symmetry, contour tree, similarity measure, persistence, isosurface extraction, transfer function design.",1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
A Scale Space Based Persistence Measure for Critical Points in 2D Scalar Fields,2011,SciVis,,"Jan Reininghaus, Natallia Kotava, David Günther, Jens Kasten, Hans Hagen, Ingrid Hotz","Scale space, persistence, discrete Morse theory.",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Evaluation of Trend Localization with Multi-Variate Visualizations,2011,SciVis,,"Mark A. Livingston, Jonathan W. Decker","User study, multi-variate visualization, visual task design, visual analytics",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Straightening Tubular Flow for Side-by-Side Visualization,2011,SciVis,,"Paolo Angelelli, Helwig Hauser","Flow Visualization, Data Reformation, Comparative Visualization",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Vortex Visualization in Ultra Low Reynolds Number Insect Flight,2011,SciVis,,"Christopher Koehler, Thomas Wischgoll, Haibo Dong, Zachary Gaston","Flow visualization, flowing seed points, streak lines, streamlines, insect flight, vortex visualization, unsteady flow.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Two-Dimensional Time-Dependent Vortex Regions Based on the Acceleration Magnitude,2011,SciVis,,"Jens Kasten, Jan Reininghaus, Ingrid Hotz, Hans-Christian Hege","Vortex regions, time-dependent flow fields, feature extraction",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Adaptive Extraction and Quantification of Geophysical Vortices,2011,SciVis,,"Sean Williams, Mark Petersen, Peer-Timo Bremer, Matthew Hecht, Valerio Pascucci, James Ahrens, Mario Hlawitschka, Bernd Hamann","Vortex extraction, feature extraction, statistical data analysis",0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
FoamVis: Visualization of 2D Foam Simulation Data,2011,SciVis,,"Dan R. Lipşa, Robert S. Laramee, Simon J. Cox, I. Tudur Davies","Surface Evolver, bubble-scale simulation, time-dependent visualizations",0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
WYSIWYG (What You See is What You Get) Volume Visualization,2011,SciVis,,"Hanqi Guo, Ningyu Mao, Xiaoru Yuan","Volume rendering, Sketching input, Human-computer interaction, Transfer functions, Feature space",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
