Visual Analytic Roadblocks for Novice Investigators,2011,VAST,Foundations of the Analysis Process,"Bum Chul Kwon, Brian Fisher, Ji Soo Yi","Visual analytics, investigative analysis, cognitive model, framework, roadblock, qualitative experiment",,,,,1,,,,,,,1,,,,
Perception-based Visual Quality Measures,2011,VAST,Foundations of the Analysis Process,"Georgia Albuquerque, Martin Eisemann, Marcus Magnor",H.3.3 [Information Storage and Retrieval]: Infor- mation Search and Retrievalﾑ; Clustering; I.3.3 [Computer Graph- ics]: Picture/Image Generation;,,1,,,1,,,,1,,,1,,1,,
Characterizing the Intelligence Analysis Process: Informing Visual Analytics Design through a Longitudinal Field Study,2011,VAST,Foundations of the Analysis Process,"Youn-ah Kang, John Stasko","Intelligence analysis, qualitatvie user study.",,,,,,,,,1,,,,,,1,
Interactive Visual Comparison of Multiple Trees,2011,VAST,"Tree, Network, and Social Network Analysis","Sebastian Bremm, Tatiana von Landesberger, Martin Heｧ, Tobias Schreck, Philipp Weil, Kay Hamacher","I.3.3[ComputerGraphics]:ViewingAlgorithmsﾑ [H.5.2]: User Interfaces (D.2.2, H.1.2, I.3.6)ﾑInteraction styles (e.g., commands, menus, forms, direct manipulation); I.3.6 [ Com- puter Graphics]: Methodology and TechniquesﾑGraphics data structures and data types",,,1,,1,,,,,1,,,1,,,
Network-based Visual Analysis of Tabular Data,2011,VAST,"Tree, Network, and Social Network Analysis","Zhicheng Liu, Shamkant Navathe, John Stasko",H.5.2 [Information Systems]: Information Inter- faces and PresentationﾑUser Interfaces;,,,,,1,,,,,,,,1,,,
"Orion: A system for Modeling, Transformation and Visualization of Multidimensional Heterogeneous…",2011,VAST,"Tree, Network, and Social Network Analysis","Jeffrey Heer, Adam Perer","socialnetworkanalysis,datamanagement,datatrans- formation, graphs, visualization, end-user programming.",,,,,1,,,,1,,,,1,,,
G-Pare: A Visual Analytic Tool for Comparative Analysis of Uncertian Graphs,2011,VAST,"Tree, Network, and Social Network Analysis","Hossam Sharara, Awalin Sopan, Galileo Namata, Lise Getoor, Lisa Singh","Uncertain Graphs, Comparative Analysis, Model Comparison, Visualizing Uncertainty",,1,,,,,,,1,,,,1,,,
Visual Social Network Analytics for Relationship Discovery in the Enterprise,2011,VAST,"Tree, Network, and Social Network Analysis","Adam Perer, Ido Guy, Erel Uziel, Inbal Ronen, Michal Jacovi","information discovery, social networks, social data mining, social visualization",,,,,1,,,,,,,1,,,,1
How Locus of Control Influences Compatability with Visualization Style,2011,VAST,Sensemaking and Collaboration,"Caroline Ziemkiewicz, R. Jordan Crouser, Ashley Rye Yauilla, Sara L. Su, William Ribarsky, Remco Chang",H.5.m [Information Interfaces and Presentation (HCI)]: Miscellaneous,,1,,,1,,,,,1,,1,,,,
Obvious: A Meta-Toolkit to Encapsulate Information Visualization Toolkits ﾑ One Toolkit to Bind Them All,2011,VAST,Sensemaking and Collaboration,"Jean-Daniel Fekete, Pierre-Luc Hemery, Thomas Baudel, Jo Wood",D.2.11 [Software]: Software ArchitecturesﾑData abstraction; D.2.13 [Software]: Reusable SoftwareﾑDomain engi- neering; K.6.3 [Software]: Software ManagementﾑSoftware pro- cess,,,,,,,,,,1,,,1,,,
