Title,Year,Category,Session,Author,Keywords,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
How Capacity Limits of Attention Influence Information Visualization Effectiveness,2012,InfoVis,Evaluation And Methodology,Steve Haroz and David Whitney,"Perception, attention, color, motion, user study, nominal axis, layout, goal-oriented design.",1,1,,,,,,,,,,1,,,,,
Different Strokes for Different Folks: Visual Presentation Design between Disciplines,2012,InfoVis,Evaluation And Methodology,"Steven R. Gomez, Radu Jianu, Caroline Ziemkiewicz, Hua Guo, David H. Laidlaw","Presentations, information visualization, design, visual analysis.",,,,,,,,,1,,,,1,,,,
Does an Eye Tracker Tell the Truth about Visualizations?: Findings while Investigating Visualizations for Decision Making,2012,InfoVis,Evaluation And Methodology,"Sung-Hee Kim, Zhihua Dong, Hanjun Xian, Benjavan Upatising, Ji Soo Yi",,1,,,,,,,,,,,1,,,,,
Design Study Methodology: Reflections from the Trenches and the Stacks,2012,InfoVis,Evaluation And Methodology,"Michael Sedlmair, Miriah Meyer, Tamara Munzner","Design study, methodology, visualization, framework",,,,,,,,,1,,,,,1,,,
Graphical Tests for Power Comparison of Competing Designs,2012,InfoVis,Evaluation And Methodology,"Heike Hofmann, Lendie Follett, Mahbubul Majumder, Dianne Cook","Lineups, Visual inference, Power comparison, Efﬁciency of displays",1,,,,,,,,,,1,,,,,,
A User Study on Curved Edges in Graph Visualization,2012,InfoVis,Graphs and Networks,"Kai Xu, Chris Rooney, Peter Passmore, Dong-Han Ham, and Phong H. Nguyen","Graph, visualization, curved edges, evaluation",,,,,,,,,1,,,1,,,,,
Compressed Adjacency Matrices:Untangling Gene Regulatory Networks,2012,InfoVis,Graphs and Networks,"Kasper Dinkla, Michel A. Westenberg, and Jarke J. van Wijk","Network, gene regulation, scale-free, adjacency matrix.",,,,,1,,,,,,,,1,,,,
Visualizing Network Trafﬁc to Understand the Performance of Massively Parallel Simulations,2012,InfoVis,Graphs and Networks,"Aaditya G. Landge, Joshua A. Levine, Katherine E. Isaacs, Abhinav Bhatele, Todd Gamblin,Martin Schulz, Steve H. Langer, Peer-Timo Bremer, and Valerio Pascucci","Performance analysis, network trafﬁc visualization, projected graph layouts",,,,,1,,,,,,,,1,,,,
Memorability of Visual Features in Network Diagrams,2012,InfoVis,Graphs and Networks,"Kim Marriott, Helen Purchase, Michael Wybrow, and Cagatay Goncu","Network diagrams, graph layout, perceptual theories, visual features, diagram recall, experiment.",,,,,,,,,1,,,,1,,,,
Interactive Level-of-Detail Rendering of Large Graphs,2012,InfoVis,Graphs and Networks,"Michael Zinsmaier, Ulrik Brandes, Oliver Deussen, and Hendrik Strobelt","Graph visualization, OpenGL, edge aggregation.",,,,,,,,,,1,,1,,,,,
