Title,Year,Category,Session,Author,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
An Adaptive Parameter Space-Filling Algorithm for Highly Interactive Cluster Exploration,2012,VAST,,Zafar Ahmed,,,,,1,,,,,,,,1,,,,
Reinventing the Contingency Wheel: Scalable Visual Analytics of Large Categorical Data,2012,VAST,,Bilal Alsallakh,,,,,1,,,,,,,,1,,,,
Visual Pattern Discovery using Random Projections,2012,VAST,,Anushka Anand,1,,1,,,,,,,,1,,1,,,,
"Analyst’s Workspace: An Embodied Sensemaking Environment For Large, High-Resolution Displays",2012,VAST,,Christopher Andrews,,,,,1,,,,,,,,1,,,,
Visual Analytics Methodology for Eye Movement Studies,2012,VAST,,Gennady Andrienko,,,,,,,,,1,,,,,,1,,
Dis-Function: Learning Distance Functions Interactively,2012,VAST,,Eli T. Brown,1,,1,,1,,,,,,1,1,,,,,
The Deshredder: A Visual Analytic Approach to Reconstructing Shredded Documents,2012,VAST,,Patrick Butler,,1,,,1,,,,,,,,1,,,,
Spatiotemporal Social Media Analytics for Abnormal Event Detection and Examination using Seasonal-Trend Decomposition,2012,VAST,,Junghoon Chae,,,,,1,,,,,,,,1,,,,
Watch This: A Taxonomy for Dynamic Data Visualization,2012,VAST,,Joseph A. Cottam,,,,,,,,,1,,,,,,1,,
An Affordance-Based Framework for Human Computation and Human-Computer Collaboration,2012,VAST,,R. Jordan Crouser,,,,,,,,,1,,,,,,1,,
LeadLine: Interactive Visual Analysis of Text Data through Event Identification and Exploration,2012,VAST,,Wenwen Dou,,1,,,1,,,,,,,,1,,,,
Semantic Interaction for Sensemaking: Inferring Analytical Reasoning for Model Steering,2012,VAST,,Alex Endert,,,,,1,,,,,,,1,,,,1,
SocialNetSense: Supporting Sensemaking of Social and Structural Features in Networks with Interactive Visualization,2012,VAST,,Liang Gou,,,,,1,,,,,,,,1,,,,
Visual Classifier Training for Text Document Retrieval,2012,VAST,,Florian Heimerl,,1,,,1,,,,,,,1,,,,1,
Inter-Active Learning of Ad-Hoc Classifiers for Video Visual Analytics,2012,VAST,,Benjamin Hoferlin,,1,,,1,,1,1,,,,,1,1,,,
Scatter/Gather Clustering: Flexibly Incorporating User Feedback to Steer Clustering Results,2012,VAST,,M. Shahriar Hossain,,,,,1,,,,,,,,,,,1,
Relative N-Gram Signatures: Document Visualization at the Level of Character N-Grams,2012,VAST,,Magdalena Jankowska,,,,,1,,,,,1,,,1,,,,
Enterprise Data Analysis and Visualization: An Interview Study,2012,VAST,,Sean Kandel,,,,,,,,,1,,,,,,1,,
"Just-in-Time Annotation of Clusters, Outliers, and Trends in Point-based Data Visualizations",2012,VAST,,Eser Kandogan,1,1,,,,,,,,,1,,1,,,,
Examining the Use of a Visual Analytics System for Sensemaking Tasks: Case Studies with Domain Experts,2012,VAST,,Youn-ah Kang,,,,,,,,,1,,,,,,1,,
A Correlative Analysis Process in a Visual Analytics Environment,2012,VAST,,Abish Malik,,,,,1,,,,,,,,1,,,,
Smart Super Views — A Knowledge-Assisted Interface for Medical Visualization,2012,VAST,,Gabriel Mistelbauer,,,,,1,,1,1,,,,,,,,1,
AlVis: Situation Awareness in the Surveillance of Road Tunnels,2012,VAST,,Harald Piringer,,,,,1,,1,1,,,,,,,,1,
The User Puzzle—Explaining the Interaction with Visual Analytics Systems,2012,VAST,,Margit Pohl,,,,,,,,,1,,,,,,1,,
iLAMP: Exploring High-Dimensional Spacing through Backward Multidimensional Projection,2012,VAST,,Elisa Portes dos Santos Amorim,,1,,,1,,1,1,,,1,,1,,,1,
A Visual Analytics Approach to Multiscale Exploration of Environmental Time Series,2012,VAST,,Mike Sips,,,,,1,,,,,,1,,1,,,1,
Subspace Search and Visualization to Make Sense of Alternative Clusterings in High-Dimensional Data,2012,VAST,,Andrada Tatu,,,,,1,,1,1,,,,1,1,,,1,
Visual Analytics Methods for Categoric Spatio-Temporal Data,2012,VAST,,T. von Landesberger,,,,,1,,,,1,,,,1,,,1,
Visual Cluster Exploration of Web Clickstream Data,2012,VAST,,Jishang Wei,,,,,1,,1,1,1,,,,,,,1,
Visual Analytics for the Big Data Era – A Comparative Review of State-of-the-Art Commercial Systems,2012,VAST,,Leishi Zhang,,,,,,,,,1,,,,,,1,,
