Title,Year,Category,Session,Author,Keywords,Speed,Accuracy,Scability,Efficiency,Effectiveness,Satisfaction,Utility,Learnability,Adoption,Productivity,Computational experiments,Subjective experiments ,Case study,Comparison with other method,Empirical analysis,User Study ,Theoretical Analysis
Fast Blending Scheme for Molecular Surface Representation,2013,SciVis,Volume and Surface Modeling,"Julius Parulek, Andrea Brambilla","Molecular visualization, geometry-based techniques, implicit surfaces",1,1,,1,1,,,,,,1,,,1,,,
Detecting Symmetry in Scalar Fields Using Augmented Extremum Graphs,2013,SciVis,Volume and Surface Modeling,"Dilip Mathew Thomas, Vijay Natarajan","Scalar field visualization, extremum graph, Morse decomposition, symmetry detection, data exploration",1,1,,1,1,,,,1,,1,,1,1,,,
Fast Generation of Virtual X-ray Images for Reconstruction of 3D Anatomy,2013,SciVis,Volume and Surface Modeling,"Moritz Ehlke, Heiko Ramm, Hans Lamecker, Hans-Christian Hege, Stefan Zachow","Digitally reconstructed radiographs, volume rendering, mesh deformation, statistical shape and intensity models, image registration, GPU acceleration",1,1,1,1,,,,,,,1,,,1,,,
An Information-Aware Framework for Exploring Multivariate Data Sets,2013,SciVis,Uncertainty and Multivariate Analysis,"Ayan Biswas, Soumya Dutta, Han-Wei Shen, Jonathan Woodring","Information theory, framework, isosurface, multivariate uncertainty",1,1,,1,1,,,,,,1,,1,1,,1,
Efficient Local Statistical Analysis via Integral Histograms with Discrete Wavelet Transform,2013,SciVis,Uncertainty and Multivariate Analysis,"Teng-Yok Lee, Han-Wei Shen","WaveletSAT, integral histograms, discrete wavelet transform",1,,1,1,,,,,1,,1,,,1,,,
Characterizing and Visualizing Predictive Uncertainty in Numerical Ensembles Through Bayesian Model Averaging,2013,SciVis,Uncertainty and Multivariate Analysis,"Luke Gosink, Kevin Bensema, Trenton Pulsipher, Harald Obermaier, Michael Henry, Hank Childs, Kenneth Joy","Uncertainty visualization, numerical ensembles, statistical visualization",,,,1,1,,,,,,1,,1,,,,
Contour Boxplots: A Method for Characterizing Uncertainty in Feature Sets from Simulation Ensembles,2013,SciVis,Uncertainty and Multivariate Analysis,"Ross T. Whitaker, Mahsa Mirzargar, Robert M. Kirby","Uncertainty visualization, boxplots, band depth, ensemble visualization, order statistics",1,1,,1,,,,,,,1,,1,1,,,
Uncertainty Quantification in Linear Interpolation for Isosurface Extraction,2013,SciVis,Uncertainty and Multivariate Analysis,"Tushar Athawale, Alireza Entezari","Uncertainty quantification, linear interpolation, isosurface extraction, marching cubes",,1,,1,1,,,,,,1,,1,,,,
Coupled Ensemble Flow Line Advection and Analysis,2013,SciVis,Vector and Flow Visualization,"Hanqi Guo, Xiaoru Yuan, Jian Huang, Xiaomin Zhu","Ensemble analysis, parallel processing, field line advection",,1,1,1,,,1,,,,1,,1,,,1,
Comparative Visual Analysis of Lagrangian Transport in CFD Ensembles,2013,SciVis,Vector and Flow Visualization,"Mathias Hummel, Harald Obermaier, Christoph Garth, Kenneth I. Joy","Ensemble, flow field, time-varying, comparison, visualization, Lagrangian, variance, principal components analysis",1,1,1,1,,,,,,,1,,1,,,,
Adaptive Refinement of the Flow Map Using Sparse Samples,2013,SciVis,Vector and Flow Visualization,"Samer S. Barakat, Xavier Tricoche","Lagrangian flow visualization, flow map, edge features, scattered data interpolation, sparse sampling, adaptive refinement, parallel reconstruction",1,1,,1,,,,,,,1,,1,1,,,
Visualization of Morse Connection Graphs for Topologically Rich 2D Vector Fields,2013,SciVis,Vector and Flow Visualization,"Andrzej Szymczak, Levente Sipeki","Morse connection graph, vector field topology",1,1,,1,1,,,,,,1,,1,,,,
Semi-Automatic Vortex Extraction in 4D PC-MRI Cardiac Blood Flow Data using Line Predicates,2013,SciVis,Vector and Flow Visualization,"Benjamin Kohler, Rocco Gasteiger, Uta Preim, Holger Theisel, Matthias Gutberlet, Bernhard Preim","4D pc-mri, cardiac blood flow, hemodynamics, line predicates, vortex extraction",,1,,1,,,,,,,1,,1,,1,,
Design by Dragging: An Interface for Creative Forward and Inverse Design with Simulation Ensembles,2013,SciVis,"Navigation, Interaction and Evaluation","Dane Coffey, Chi-Lun Lin, Arthur G. Erdman, Daniel F. Keefe","Design, simulation, direct manipulation, multi-touch",,1,,1,,,1,,,,1,,1,,,1,
A Multi-Criteria Approach to Camera Motion Design for Volume Data Animation,2013,SciVis,"Navigation, Interaction and Evaluation","Wei-Hsien Hsu, Yubo Zhang, Kwan-Liu Ma","Camera motion planning, volume rendering, visualization, animation",1,1,,1,,,1,,,,,,1,1,,1,
A Lightweight Tangible 3D Interface for Interactive Visualization of Thin Fiber Structures,2013,SciVis,"Navigation, Interaction and Evaluation","Bret Jackson, Tung Yuen Lau, David Schroeder, Kimani C. Toussaint, Jr., Daniel F. Keefe","Scientific visualization, 3D interaction, tangible interaction, microscopy visualization",1,1,,1,,,1,,1,,1,,,,,1,
Evaluation of Static and Dynamic Visualization Training Approaches for Users with Different Spatial Abilities,2013,SciVis,"Navigation, Interaction and Evaluation","Maria-Elena Froese, Melanie Tory, Guy-Warwick Evans, Kedar Shrikhande","Spatial ability, 3D visualization, training, evaluation, orthographic projection, CAD",,,,1,,,,,,,,,,,1,1,
A Systematic Review on the Practice of Evaluating Visualization,2013,SciVis,"Navigation, Interaction and Evaluation","Tobias Isenberg, Petra Isenberg, Jian Chen, Michael Sedlmair, Torsten Moller","Evaluation, validation, systematic review, visualization, scientific visualization, information visualization",,,,,,,,,,,,,,,1,,
Interactive Patient-Specific Vascular Modeling with Sweep Surfaces,2013,SciVis,Biomedical Visualization,"Jan Kretschmer, Christian Godenschwager, Bernhard Preim, Marc Stamminger","Surface modeling, vascular visualization, centerline-based modeling",1,1,,1,,,,,,,1,,1,1,,,
Area-Preservation Mapping using Optimal Mass Transport,2013,SciVis,Biomedical Visualization,"Xin Zhao, Zhengyu Su, Xianfeng David Gu, Arie Kaufman, Jian Sun, Jie Gao, Feng Luo","Area-preservation mapping, surface flattening, optimal transport map, Monge-Brenier theory, visualization and graphics applications",1,1,,1,,,,,,,1,,,,1,,
Colon Flattening Using Heat Diffusion Riemannian Metric,2013,SciVis,Biomedical Visualization,"Krishna Chaitanya Gurijala, Rui Shi, Wei Zeng, Xianfeng Gu, Arie Kaufman","Colon flattening, heat diffusion, virtual colonoscopy, volume rendering, topological noise, shape-preserving mapping",1,1,1,1,,,,,,,1,,,1,,,
Vessel Visualization using Curved Surface Reformation,2013,SciVis,Biomedical Visualization,"Thomas Auzinger, Gabriel Mistelbauer, Ivan Baclija, Rudiger Schernthaner, Arnold Kochl, Michael Wimm","Reformation, volume rendering, surface approximation",1,1,,1,,,1,,,,1,,,1,,1,
ConnectomeExplorer: Query-Guided Visual Analysis of Large Volumetric Neuroscience Data,2013,SciVis,Biomedical Visualization,"Johanna Beyer, Ali Al-Awami, Narayanan Kasthuri, Jeff W. Lichtman, Hanspeter Pfister, Markus Hadwiger","Connectomics, neuroscience, query algebra, visual knowledge discovery, petascale volume analysis",1,1,,1,,1,1,,,,1,,1,,,1,
ManyVis: Multiple Applications in an Integrated Visualization Environment,2013,SciVis,Visualization Systems,"Atul Rungta, Brian Summa, Dogan Demir, Peer-Timo Bremer, Valerio Pascucci","Visualization environments, integrated applications, macros, linked views",1,,,1,,,1,,,,1,,1,,,,
Acuity-Driven Gigapixel Visualization,2013,SciVis,Visualization Systems,"Charilaos Papadopoulos, Arie E. Kaufman","Gigapixel visualization, visual acuity, focus and context, Reality Deck, gigapixel display",1,1,,1,,,1,,,,1,,,1,,1,
An Exploration Framework to Identify and Track Movement of Cloud Systems,2013,SciVis,Visualization Systems,"Harish Doraiswamy, Vijay Natarajan, Ravi S. Nanjundiah","Cloud clusters, tracking, computational topology, split tree, weather and climate simulations",,1,,1,,,1,,,,1,,1,,,,
MObjects. A Novel Method for the Visualization and Interactive Exploration of Defects in Industrial XCT Data,2013,SciVis,Visualization Systems,"Andreas Reh, Christian Gusenbauer, Johann Kastner, M. Eduard Groller, Christoph Heinzl","3D X-ray computed tomography, carbon fiber reinforced polymers, porosity, parameter space analysis, MObjects",,1,,1,,1,1,,,,1,1,1,,,,
GRACE: A Visual Comparison Framework for Integrated Spatial and Non-Spatial Geriatric Data,2013,SciVis,Visualization Systems,"Adrian Maries, Nathan Mays, Megan Olson Hunt, Kim F. Wong, William Layton, Robert Boudreau, Caterina Rosano, G. Elisabeta Marai","Design studies, methodology design, task and requirements analysis, integrating spatial and non-spatial data visualization, visual comparison, high-dimensional data, applications of visualization",,1,,1,1,,1,,,,1,,1,,,1,
Noise-Based Volume Rendering for the Visualization of Multivariate Volumetric Data,2013,SciVis,Volume Rendering,"Rostislav Khlebnikov, Bernhard Kainz, Markus Steinberger, Dieter Schmalstieg","Volume rendering, multi-variate data visualization, multi-volume rendering, scientific visualization",1,1,,1,,,,,,,1,,,,,1,
Ambient Volume Scattering,2013,SciVis,Volume Rendering,"Marco Ament, Filip Sadlo, Daniel Weiskopf","Direct volume rendering, volume illumination, ambient scattering, preintegrated light transport, gradient-free shading",1,1,,1,1,,,,,,1,,1,1,,,
Lighting Design for Globally Illuminated Volume Rendering,2013,SciVis,Volume Rendering,"Yubo Zhang, Kwan-Liu Ma","Global illumination, lighting design, volume rendering, tone mapping",1,1,,,1,,,,,,1,,1,,,,
